Age Group,Gender,Occupation,Monthly Income,City Tier,Alcohol Consumption Frequency,Preferred Alcohol Types,Likelihood to Try New Cocktail,Purchase Channel,Preferred Consumption Setting,Interested Cocktail Flavours,Preferred Packaging,Preferred Pack Size,Interest in Mixed Flavour Packs,Ranking of Purchase Factors,Importance of Sustainability,Prefers Social Media Brands,Willingness to Pay (per unit),Likelihood to Recommend,Challenges in Choosing Cocktails,Buys on Bundle Deal,Willing to Switch Brand,Likelihood to Buy for Group Events,Would Join Loyalty Program,Preferred Channel (for purchase)
18-24,Female,Entrepreneur,"20,000–50,000",Tier 1,Rarely,Cocktails,Likely,Retail shop,Bars/Pubs,"Litchi,Mango",Glass bottle,Pack of 2,Interested,"Price,Flavour variety,Brand,Social cause,Packaging",Moderately,Yes,₹200–₹300,Very unlikely,Lack of availability,Yes,Yes,Often,No,Retail shop
25-34,Female,Working Professional,"20,000–50,000",Tier 2,Never,"Rum,Cocktails",Likely,Online,At home,"Guava,Litchi",Can,Pack of 6,Neutral,"Brand,Flavour variety,Price,Social cause,Packaging",Extremely,Doesn’t matter,₹200–₹300,Neutral,"Lack of availability,Health concerns,Other",Maybe,No,Always,Yes,Retail shop
18-24,Male,Working Professional,"20,000–50,000",Tier 2,Occasionally,"Beer,Gin",Likely,Retail shop,Outdoors,Pineapple,Can,Pack of 2,Neutral,"Flavour variety,Brand,Price,Social cause,Packaging",Not at all,Yes,>₹300,Neutral,Not enough information/branding,Yes,Maybe,Often,Yes,Retail shop
35-44,Female,Working Professional,">1,00,000",Tier 3/Rural,Occasionally,"Cocktails,Beer,Gin",Likely,Pub,Outdoors,"Mango,Orange",Glass bottle,Pack of 6,Neutral,"Flavour variety,Brand,Price,Social cause,Packaging",Slightly,Yes,₹100–₹200,Likely,Lack of availability,Yes,Maybe,Occasionally,Yes,Other
35-44,Male,Other,"20,000–50,000",Metro,Rarely,"Whiskey,Gin",Very unlikely,Restaurant,At home,"Mango,Mint",Can,Pack of 12,Neutral,"Brand,Flavour variety,Price,Packaging,Social cause",Slightly,Doesn’t matter,₹100–₹200,Very likely,"Limited flavour options,Lack of availability,Health concerns",Yes,Maybe,Occasionally,No,Retail shop
18-24,Male,Working Professional,"50,000–1,00,000",Tier 2,Occasionally,Other,Very likely,Duty-free,Social gatherings,Orange,Glass bottle,Pack of 2,Interested,"Flavour variety,Brand,Price,Packaging,Social cause",Highly,Doesn’t matter,₹200–₹300,Very likely,Not enough information/branding,Yes,Maybe,Often,Yes,Restaurant
18-24,Male,Working Professional,"20,000–50,000",Tier 3/Rural,Never,"Whiskey,Beer",Likely,Retail shop,Restaurants,"Lime,Coffee,Pineapple",No preference,Pack of 12,Interested,"Brand,Flavour variety,Price,Packaging,Social cause",Highly,Doesn’t matter,₹100–₹200,Likely,Health concerns,Yes,Yes,Always,No,Bar
18-24,Male,Working Professional,"50,000–1,00,000",Tier 2,Never,"Vodka,Beer,Gin",Likely,Retail shop,Outdoors,"Litchi,Mango,Lime",Can,Pack of 24,Slightly interested,"Brand,Flavour variety,Price,Packaging,Social cause",Moderately,Yes,>₹300,Likely,"Limited flavour options,High price,Not enough information/branding",Yes,Yes,Occasionally,No,Retail shop
45-54,Male,Working Professional,"20,000–50,000",Tier 2,Occasionally,"Beer,Vodka",Neutral,Other,Outdoors,"Mango,Lime",Glass bottle,Pack of 12,Interested,"Price,Flavour variety,Brand,Packaging,Social cause",Highly,Yes,₹100–₹200,Likely,"Not enough information/branding,Limited flavour options,Lack of availability",Yes,Maybe,Occasionally,No,Retail shop
35-44,Female,Working Professional,"20,000–50,000",Tier 2,Occasionally,"Beer,Cocktails,Whiskey",Unlikely,Retail shop,Restaurants,"Coffee,Pineapple",Glass bottle,Pack of 12,Interested,"Brand,Price,Flavour variety,Social cause,Packaging",Slightly,Doesn’t matter,₹100–₹200,Likely,Not enough information/branding,Yes,Yes,Occasionally,Yes,Retail shop
25-34,Male,Working Professional,"20,000–50,000",Metro,Occasionally,"Other,Whiskey,Beer",Likely,Pub,Restaurants,"Litchi,Mango",Can,Pack of 24,Slightly interested,"Flavour variety,Brand,Price,Packaging,Social cause",Highly,No,₹100–₹200,Likely,"Limited flavour options,Health concerns,Not enough information/branding",No,Yes,Always,Yes,Bar
18-24,Female,Working Professional,"20,000–50,000",Tier 2,Frequently,Other,Very likely,Retail shop,Social gatherings,Berry,Can,Pack of 6,Interested,"Price,Brand,Flavour variety,Social cause,Packaging",Moderately,Doesn’t matter,₹100–₹200,Likely,"Limited flavour options,Poor packaging,Other",Maybe,Yes,Occasionally,Yes,Online
18-24,Female,Working Professional,"20,000–50,000",Metro,Rarely,Whiskey,Very likely,Retail shop,At home,"Mango,Orange,Pineapple",Glass bottle,Pack of 2,Neutral,"Flavour variety,Brand,Price,Packaging,Social cause",Extremely,Doesn’t matter,<₹100,Very likely,High price,Yes,Maybe,Occasionally,No,Retail shop
25-34,Female,Homemaker,"20,000–50,000",Tier 1,Occasionally,"Whiskey,Cocktails",Very unlikely,Retail shop,Bars/Pubs,"Orange,Guava,Coffee",Can,Pack of 6,Interested,"Flavour variety,Price,Brand,Social cause,Packaging",Slightly,Yes,>₹300,Very likely,"Limited flavour options,Not enough information/branding,Health concerns",Yes,No,Never,Yes,Retail shop
18-24,Male,Student,">1,00,000",Tier 3/Rural,Rarely,"Beer,Cocktails",Neutral,Retail shop,Bars/Pubs,Orange,No preference,Pack of 6,Interested,"Brand,Flavour variety,Price,Packaging,Social cause",Slightly,No,₹200–₹300,Unlikely,"Lack of availability,Other",Yes,Yes,Often,Yes,Retail shop
45-54,Female,Working Professional,"50,000–1,00,000",Tier 2,Occasionally,Beer,Likely,Restaurant,Social gatherings,Litchi,Glass bottle,Pack of 12,Slightly interested,"Brand,Flavour variety,Price,Packaging,Social cause",Slightly,Yes,₹200–₹300,Very likely,"Lack of availability,Not enough information/branding,Limited flavour options",Maybe,No,Often,No,Restaurant
35-44,Female,Working Professional,"20,000–50,000",Tier 1,Occasionally,"Cocktails,Whiskey",Likely,Restaurant,At home,"Berry,Classic",Can,Pack of 6,Neutral,"Price,Brand,Flavour variety,Packaging,Social cause",Not at all,No,₹200–₹300,Likely,"Health concerns,High price",Maybe,No,Occasionally,Yes,Retail shop
25-34,Male,Homemaker,"50,000–1,00,000",Tier 1,Never,"Vodka,Cocktails",Very unlikely,Retail shop,Social gatherings,Guava,Glass bottle,Pack of 12,Neutral,"Flavour variety,Brand,Price,Social cause,Packaging",Extremely,No,₹100–₹200,Likely,"Poor packaging,High price,Limited flavour options",Yes,No,Occasionally,No,Other
25-34,Female,Student,"50,000–1,00,000",Metro,Frequently,"Vodka,Whiskey,Cocktails",Likely,Online,At home,"Pineapple,Mango",Glass bottle,Pack of 12,Interested,"Price,Flavour variety,Brand,Social cause,Packaging",Highly,No,₹100–₹200,Likely,"Not enough information/branding,Lack of availability,Limited flavour options",Yes,Maybe,Always,No,Retail shop
35-44,Male,Working Professional,"50,000–1,00,000",Tier 2,Frequently,"Cocktails,Gin,Beer",Very likely,Pub,Social gatherings,Mint,Glass bottle,Pack of 6,Neutral,"Price,Flavour variety,Brand,Social cause,Packaging",Highly,Doesn’t matter,<₹100,Very likely,High price,No,Yes,Often,No,Retail shop
18-24,Female,Working Professional,"20,000–50,000",Metro,Occasionally,"Cocktails,Whiskey,Beer",Neutral,Retail shop,Restaurants,"Mango,Classic",Can,Pack of 6,Very interested,"Brand,Price,Flavour variety,Packaging,Social cause",Moderately,Yes,₹100–₹200,Neutral,"High price,Not enough information/branding",No,Yes,Occasionally,Yes,Other
25-34,Male,Homemaker,"<20,000",Tier 2,Occasionally,Gin,Likely,Retail shop,Social gatherings,"Coffee,Classic,Orange",Can,Pack of 6,Slightly interested,"Brand,Price,Flavour variety,Social cause,Packaging",Moderately,Yes,<₹100,Very likely,"High price,Limited flavour options,Not enough information/branding",Yes,Maybe,Always,Yes,Bar
18-24,Female,Homemaker,"50,000–1,00,000",Tier 2,Occasionally,"Beer,Gin,Whiskey",Likely,Retail shop,At home,Berry,Can,Pack of 6,Interested,"Brand,Price,Flavour variety,Social cause,Packaging",Highly,Doesn’t matter,₹100–₹200,Neutral,Lack of availability,No,Maybe,Occasionally,Yes,Retail shop
25-34,Male,Entrepreneur,"50,000–1,00,000",Tier 3/Rural,Never,Other,Likely,Retail shop,Bars/Pubs,"Guava,Lime",No preference,Pack of 2,Interested,"Flavour variety,Price,Brand,Packaging,Social cause",Slightly,Doesn’t matter,₹100–₹200,Unlikely,"Limited flavour options,Poor packaging",No,No,Occasionally,No,Retail shop
18-24,Female,Working Professional,"20,000–50,000",Tier 1,Never,Other,Unlikely,Bar,Social gatherings,"Berry,Lime",Glass bottle,Pack of 6,Slightly interested,"Price,Flavour variety,Brand,Packaging,Social cause",Slightly,No,>₹300,Very likely,"High price,Poor packaging",No,No,Always,Yes,Online
18-24,Male,Student,"50,000–1,00,000",Metro,Occasionally,"Vodka,Beer,Whiskey",Neutral,Online,Social gatherings,"Mint,Guava,Orange",Glass bottle,Pack of 6,Neutral,"Flavour variety,Price,Brand,Packaging,Social cause",Not at all,No,>₹300,Neutral,"Not enough information/branding,Limited flavour options",Yes,No,Often,No,Retail shop
25-34,Female,Working Professional,"20,000–50,000",Tier 1,Frequently,Whiskey,Neutral,Pub,Bars/Pubs,"Orange,Lime,Guava",Glass bottle,Pack of 2,Interested,"Flavour variety,Price,Brand,Packaging,Social cause",Slightly,Doesn’t matter,₹200–₹300,Likely,"Lack of availability,High price",Maybe,Maybe,Always,Yes,Retail shop
18-24,Female,Working Professional,"<20,000",Tier 1,Rarely,"Beer,Whiskey,Vodka",Very likely,Retail shop,Restaurants,"Orange,Litchi,Berry",Can,Pack of 6,Slightly interested,"Flavour variety,Brand,Price,Packaging,Social cause",Not at all,No,₹200–₹300,Unlikely,"Limited flavour options,Health concerns",No,No,Occasionally,Yes,Online
45-54,Male,Working Professional,"50,000–1,00,000",Tier 1,Occasionally,"Rum,Gin",Neutral,Pub,Social gatherings,Lime,Glass bottle,Pack of 2,Interested,"Flavour variety,Brand,Price,Social cause,Packaging",Extremely,Yes,₹100–₹200,Very likely,"Lack of availability,Not enough information/branding",Maybe,No,Occasionally,No,Bar
45-54,Female,Working Professional,"50,000–1,00,000",Tier 3/Rural,Rarely,"Beer,Whiskey,Vodka",Likely,Retail shop,Social gatherings,Classic,Can,Pack of 2,Interested,"Brand,Price,Flavour variety,Social cause,Packaging",Not at all,No,<₹100,Very likely,"Lack of availability,Poor packaging",Maybe,Yes,Often,No,Online
18-24,Male,Working Professional,"20,000–50,000",Metro,Rarely,"Gin,Cocktails,Whiskey",Neutral,Pub,Restaurants,Orange,No preference,Pack of 12,Neutral,"Flavour variety,Brand,Price,Social cause,Packaging",Moderately,Doesn’t matter,₹100–₹200,Likely,Limited flavour options,Maybe,Maybe,Often,Yes,Retail shop
18-24,Female,Homemaker,"20,000–50,000",Metro,Frequently,Whiskey,Likely,Restaurant,Outdoors,"Berry,Orange,Guava",Glass bottle,Pack of 12,Not interested,"Flavour variety,Brand,Price,Social cause,Packaging",Slightly,Yes,₹100–₹200,Very likely,"Lack of availability,Poor packaging,High price",Yes,Maybe,Never,Yes,Online
55+,Female,Working Professional,"50,000–1,00,000",Metro,Occasionally,Rum,Very likely,Retail shop,At home,"Berry,Classic,Lime",Can,Pack of 6,Interested,"Brand,Price,Flavour variety,Social cause,Packaging",Not at all,No,₹200–₹300,Unlikely,Limited flavour options,Maybe,Yes,Often,No,Retail shop
25-34,Male,Working Professional,"20,000–50,000",Tier 2,Occasionally,Vodka,Likely,Online,At home,"Berry,Mango,Pineapple",Glass bottle,Pack of 12,Interested,"Price,Brand,Flavour variety,Social cause,Packaging",Highly,Doesn’t matter,>₹300,Very unlikely,"Poor packaging,Not enough information/branding,Lack of availability",Yes,Yes,Occasionally,Yes,Retail shop
35-44,Male,Working Professional,"50,000–1,00,000",Metro,Occasionally,Vodka,Likely,Retail shop,At home,"Mango,Pineapple,Litchi",Glass bottle,Pack of 2,Interested,"Brand,Flavour variety,Price,Packaging,Social cause",Extremely,Doesn’t matter,<₹100,Neutral,"Poor packaging,Other",Yes,Maybe,Occasionally,Yes,Online
35-44,Male,Working Professional,"50,000–1,00,000",Metro,Occasionally,Cocktails,Very likely,Online,At home,Coffee,No preference,Pack of 12,Neutral,"Brand,Price,Flavour variety,Social cause,Packaging",Extremely,Yes,₹200–₹300,Neutral,"Limited flavour options,High price,Not enough information/branding",No,No,Always,Yes,Restaurant
25-34,Male,Working Professional,"<20,000",Metro,Occasionally,"Whiskey,Beer,Rum",Unlikely,Retail shop,At home,"Classic,Orange,Mint",Glass bottle,Pack of 2,Slightly interested,"Flavour variety,Brand,Price,Social cause,Packaging",Extremely,Doesn’t matter,₹200–₹300,Likely,"Health concerns,Not enough information/branding",Maybe,Maybe,Often,Yes,Retail shop
25-34,Male,Working Professional,">1,00,000",Tier 1,Rarely,"Beer,Cocktails,Other",Likely,Retail shop,Restaurants,Mango,Glass bottle,Pack of 6,Very interested,"Brand,Flavour variety,Price,Social cause,Packaging",Highly,Yes,₹100–₹200,Very likely,"Poor packaging,Not enough information/branding,Limited flavour options",Yes,Yes,Occasionally,Yes,Online
18-24,Male,Working Professional,"50,000–1,00,000",Tier 2,Occasionally,"Beer,Cocktails,Vodka",Likely,Restaurant,Outdoors,Lime,Can,Pack of 6,Not interested,"Price,Flavour variety,Brand,Packaging,Social cause",Extremely,Yes,₹100–₹200,Likely,Not enough information/branding,Yes,Yes,Occasionally,No,Online
35-44,Male,Working Professional,"20,000–50,000",Tier 1,Never,"Gin,Vodka",Neutral,Retail shop,Social gatherings,"Guava,Lime,Mint",Can,Pack of 12,Neutral,"Brand,Price,Flavour variety,Packaging,Social cause",Not at all,No,₹100–₹200,Likely,"Lack of availability,Limited flavour options",Maybe,No,Occasionally,Yes,Retail shop
25-34,Male,Other,"50,000–1,00,000",Tier 2,Rarely,Cocktails,Neutral,Restaurant,Social gatherings,Mango,Glass bottle,Pack of 6,Very interested,"Price,Flavour variety,Brand,Social cause,Packaging",Moderately,Yes,₹100–₹200,Very likely,Not enough information/branding,Yes,Maybe,Occasionally,Yes,Retail shop
35-44,Female,Student,"20,000–50,000",Metro,Occasionally,Vodka,Unlikely,Retail shop,Social gatherings,Lime,Can,Pack of 2,Interested,"Price,Flavour variety,Brand,Packaging,Social cause",Slightly,Doesn’t matter,₹100–₹200,Very likely,"Limited flavour options,Lack of availability",Maybe,Maybe,Occasionally,No,Other
25-34,Female,Homemaker,"50,000–1,00,000",Metro,Rarely,"Rum,Beer,Cocktails",Neutral,Duty-free,Restaurants,Coffee,Glass bottle,Pack of 12,Interested,"Brand,Flavour variety,Price,Social cause,Packaging",Slightly,Yes,>₹300,Likely,"High price,Health concerns,Not enough information/branding",Yes,Maybe,Often,No,Retail shop
18-24,Male,Working Professional,"<20,000",Tier 3/Rural,Occasionally,Whiskey,Very likely,Duty-free,At home,"Berry,Mint",Glass bottle,Pack of 2,Slightly interested,"Flavour variety,Brand,Price,Packaging,Social cause",Slightly,Yes,₹200–₹300,Neutral,"Not enough information/branding,Health concerns",Yes,No,Often,No,Retail shop
18-24,Male,Homemaker,"50,000–1,00,000",Metro,Frequently,"Gin,Whiskey",Neutral,Duty-free,Social gatherings,"Pineapple,Mint",Can,Pack of 6,Very interested,"Brand,Price,Flavour variety,Social cause,Packaging",Highly,Yes,₹100–₹200,Likely,"Not enough information/branding,Poor packaging,Lack of availability",Maybe,Maybe,Often,No,Restaurant
35-44,Male,Working Professional,"<20,000",Metro,Occasionally,"Vodka,Rum",Very likely,Retail shop,At home,"Berry,Mango",Can,Pack of 6,Interested,"Flavour variety,Brand,Price,Social cause,Packaging",Not at all,Yes,₹100–₹200,Unlikely,"Lack of availability,Poor packaging",Yes,Yes,Often,Yes,Bar
25-34,Male,Student,"20,000–50,000",Tier 1,Occasionally,Beer,Likely,Online,At home,"Pineapple,Orange",Glass bottle,Pack of 6,Neutral,"Flavour variety,Price,Brand,Social cause,Packaging",Highly,Doesn’t matter,₹200–₹300,Likely,"Limited flavour options,Not enough information/branding,Other",Yes,No,Often,No,Restaurant
18-24,Female,Working Professional,">1,00,000",Metro,Rarely,Whiskey,Likely,Retail shop,Social gatherings,"Pineapple,Classic,Guava",Can,Pack of 12,Interested,"Price,Flavour variety,Brand,Social cause,Packaging",Slightly,Doesn’t matter,₹100–₹200,Unlikely,Health concerns,Yes,Maybe,Occasionally,Yes,Restaurant
18-24,Male,Working Professional,"50,000–1,00,000",Tier 2,Occasionally,"Cocktails,Beer,Vodka",Neutral,Bar,Social gatherings,"Mint,Mango,Berry",Glass bottle,Pack of 6,Interested,"Price,Brand,Flavour variety,Social cause,Packaging",Highly,Yes,₹200–₹300,Likely,"Health concerns,Lack of availability,High price",Yes,No,Often,Yes,Other
25-34,Female,Working Professional,"<20,000",Tier 3/Rural,Frequently,Whiskey,Neutral,Pub,At home,"Berry,Pineapple,Orange",Can,Pack of 12,Not interested,"Price,Flavour variety,Brand,Social cause,Packaging",Extremely,No,₹100–₹200,Likely,"Not enough information/branding,Other,Limited flavour options",No,Yes,Occasionally,No,Retail shop
25-34,Male,Entrepreneur,"50,000–1,00,000",Tier 1,Occasionally,Vodka,Likely,Retail shop,Bars/Pubs,"Mango,Litchi,Guava",Glass bottle,Pack of 6,Interested,"Flavour variety,Price,Brand,Social cause,Packaging",Not at all,No,₹200–₹300,Neutral,High price,Maybe,Yes,Often,No,Online
18-24,Female,Working Professional,"<20,000",Metro,Occasionally,"Whiskey,Rum",Likely,Other,At home,"Guava,Lime,Litchi",Glass bottle,Pack of 12,Slightly interested,"Brand,Flavour variety,Price,Packaging,Social cause",Not at all,Yes,₹100–₹200,Likely,Not enough information/branding,Maybe,Yes,Always,Yes,Restaurant
25-34,Male,Student,"20,000–50,000",Metro,Occasionally,"Beer,Whiskey",Very likely,Restaurant,At home,"Litchi,Mint,Orange",Can,Pack of 6,Interested,"Brand,Flavour variety,Price,Packaging,Social cause",Not at all,Doesn’t matter,₹200–₹300,Neutral,"High price,Poor packaging",Maybe,Yes,Often,Yes,Restaurant
45-54,Female,Student,">1,00,000",Metro,Occasionally,"Whiskey,Rum,Beer",Likely,Restaurant,Restaurants,Guava,Glass bottle,Pack of 2,Interested,"Flavour variety,Brand,Price,Social cause,Packaging",Moderately,Yes,₹100–₹200,Likely,"Not enough information/branding,Limited flavour options",No,No,Occasionally,Yes,Online
35-44,Non-binary/Other,Working Professional,"50,000–1,00,000",Tier 1,Occasionally,"Cocktails,Beer",Neutral,Online,Social gatherings,"Litchi,Classic",Glass bottle,Pack of 6,Neutral,"Brand,Flavour variety,Price,Social cause,Packaging",Slightly,No,>₹300,Very likely,"Poor packaging,Limited flavour options",Yes,Yes,Occasionally,Yes,Bar
18-24,Male,Working Professional,"20,000–50,000",Tier 2,Occasionally,"Other,Cocktails,Whiskey",Likely,Pub,At home,Lime,Glass bottle,Pack of 6,Neutral,"Brand,Price,Flavour variety,Packaging,Social cause",Not at all,No,>₹300,Likely,"High price,Not enough information/branding",Yes,Maybe,Often,Yes,Bar
25-34,Male,Student,"20,000–50,000",Tier 3/Rural,Occasionally,Whiskey,Neutral,Retail shop,Social gatherings,"Classic,Mango,Guava",Glass bottle,Pack of 12,Neutral,"Brand,Flavour variety,Price,Packaging,Social cause",Not at all,Yes,₹200–₹300,Likely,High price,Maybe,Yes,Occasionally,Yes,Bar
25-34,Female,Working Professional,"20,000–50,000",Tier 1,Occasionally,Beer,Very likely,Restaurant,Restaurants,"Lime,Mango,Litchi",Can,Pack of 6,Neutral,"Brand,Flavour variety,Price,Packaging,Social cause",Highly,No,₹100–₹200,Very likely,"Limited flavour options,High price",Maybe,Yes,Often,Yes,Restaurant
